id,nombre_subserie/id,disposicion_final_ids/id,nombre_depen/id,reproduccion_tecnica,disposicion_ag,disposicion_ac
iss_1,subserie_1,dis_2,depen_8,0,1,9
iss_2,subserie_2,dis_2,depen_1,1,1,19
iss_3,subserie_3,dis_2,depen_9,1,1,19
iss_4,subserie_4,dis_2,depen_9,1,1,19
iss_5,subserie_5,dis_2,depen_7,1,1,19
iss_6,subserie_6,dis_2,depen_7,0,1,2
iss_7,subserie_7,dis_2,depen_7,0,1,2
iss_8,subserie_8,dis_1,depen_1,1,1,19
iss_9,subserie_9,dis_2,depen_9,1,1,19
iss_10,subserie_10,dis_2,depen_7,1,1,9
iss_11,subserie_11,dis_2,depen_4,0,2,78
iss_12,subserie_12,dis_2,depen_6,0,1,9
iss_13,subserie_13,dis_2,depen_4,0,1,4
iss_14,subserie_14,dis_2,depen_2,0,1,4
iss_15,subserie_15,dis_2,depen_2,0,1,4
iss_16,subserie_16,dis_2,depen_4,0,1,4
iss_17,subserie_17,dis_2,depen_4,0,1,9
iss_18,subserie_18,dis_2,depen_4,0,1,9
iss_19,subserie_19,dis_2,depen_4,0,1,9
iss_20,subserie_20,dis_2,depen_4,0,1,9
iss_21,subserie_21,dis_2,depen_4,0,1,9
iss_22,subserie_22,dis_2,depen_4,0,1,9
iss_23,subserie_23,dis_2,depen_8,0,1,9
iss_24,subserie_24,dis_2,depen_4,0,1,4
iss_25,subserie_25,dis_2,depen_1,0,1,4
iss_26,subserie_26,dis_2,depen_4,0,1,9
iss_27,subserie_27,dis_2,depen_4,0,1,4
iss_28,subserie_28,dis_2,depen_8,1,2,18
iss_29,subserie_29,dis_2,depen_4,0,1,9
iss_30,subserie_30,dis_2,depen_7,0,1,19
iss_31,subserie_31,dis_2,depen_5,0,1,19
iss_32,subserie_31,dis_2,depen_7,0,1,19
iss_33,subserie_32,dis_2,depen_6,0,1,9
iss_34,subserie_33,dis_2,depen_8,0,1,9
iss_35,subserie_34,dis_2,depen_4,0,1,9
