id,codigo,name,serie_id/id,active,sequence,cierre_expediente,procedimiento
subserie_1,"01","Acreditaciones Personal Operativo - Apo",gestion_documentos.serie_1,1,1,"Terminación de la vigencia fiscal","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplidos los tiempos de retención en el archivo de gestión y en el archivo central contados a partir del cierre del expediente, la agrupación documental en su soporte original físico se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de picado.<br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores primarios administrativos, no tiene valores secundarios."
subserie_2,"01","Actas de Comité de Convivencia Laboral",gestion_documentos.serie_2,1,2,"Terminación de la vigencia fiscal","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplido el tiempo de retención en el archivo de gestión los documentos en soporte original físico se transfieren al archivo central para ser digitalizados con fines de consulta en el área de Archivo y cumplido el tiempo de retención en el archivo central contados a partir del cierre del expediente, los documentos en su soporte original físico y el digitalizado se eliminan por pérdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de picado.<br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores primarios administrativos, no tiene valores secundarios."
subserie_3,"02","Actas de Comité de Seguridad Vial",gestion_documentos.serie_2,1,3,"Terminación de la vigencia fiscal","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplido el tiempo de retención en el archivo de gestión los documentos en soporte original físico se transfieren al archivo central para ser digitalizados con fines de consulta en el área de Archivo y cumplido el tiempo de retención en el archivo central contados a partir del cierre del expediente, los documentos en su soporte original físico y el digitalizado se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de picado.<br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores primarios administrativos, no tiene valores secundarios."
subserie_4,"03","Actas de Comité Paritario de Seguridad y Salud en el Trabajo - Copasst",gestion_documentos.serie_2,1,4,"Terminación de la vigencia fiscal","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplido el tiempo de retención en el archivo de gestión los documentos en soporte original físico se transfieren al archivo central para ser digitalizados con fines de consulta en el área de Archivo y cumplido el tiempo de retención en el archivo central contados a partir del cierre del expediente, los documentos en su soporte original físico y el digitalizado se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de picado.<br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores primarios administrativos, no tiene valores secundarios."
subserie_5,"04","Actas de Entrega de Armamento",gestion_documentos.serie_2,1,5,"Terminación de la vigencia fiscal","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplido el tiempo de retención en el archivo de gestión los documentos en soporte original físico se transfieren al archivo central para ser digitalizados con fines de consulta en el área de Archivo y cumplido el tiempo de retención en el archivo central contados a partir del cierre del expediente, los documentos en su soporte original físico y el digitalizado se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de picado.<br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores primarios administrativos, no tiene valores secundarios."
subserie_6,"05","Actas de Entrega de Chalecos de Seguridad",gestion_documentos.serie_2,1,6,"Terminación de la vigencia fiscal","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplido el tiempo de retención en el archivo de gestión y en el archivo central contados a partir del cierre del expediente, los documentos en su soporte original electrónico se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de borrado seguro.<br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores primarios administrativos, no tiene valores secundarios."
subserie_7,"06","Actas de Entrega de Elementos de Puesto",gestion_documentos.serie_2,1,7,"Terminación de la vigencia fiscal","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplido el tiempo de retención en el archivo de gestión y en el archivo central contados a partir del cierre del expediente, los documentos en su soporte original electrónico se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de borrado seguro.<br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores primarios administrativos, no tiene valores secundarios."
subserie_8,"07","Actas de la Junta de Socios",gestion_documentos.serie_2,1,8,"Terminación de la vigencia fiscal","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplido el tiempo de retención en el archivo de gestión los documentos en soporte físico se digitalizan con fines de consulta en el área de Archivo y cumplido el tiempo de retención en el archivo central contados a partir del cierre del expediente, la agrupación documental adquiere valores permanentes debido a que es un documentos escritos que registran lo sucedido y acordado en una reunión de socios de una empresa. Estas actas sirven como prueba de las decisiones tomadas y de los hechos que se trataron en la reunión. , por lo tanto se procede a la conservación total como fuente de información para la historia,  los documentos en su soporte original físico se transfieren al archivo histórico para formar parte de la memoria institucional de VISE LTDA, se aplican procesos de conservación documental.<br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valor secundario histórico."
subserie_9,"08","Actas de Revisión por la Dirección",gestion_documentos.serie_2,1,9,"Terminación de la vigencia fiscal","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplido el tiempo de retención en el archivo de gestión los documentos en soporte original físico se transfieren al archivo central para ser digitalizados con fines de consulta en el área de Archivo y cumplido el tiempo de retención en el archivo central contados a partir del cierre del expediente, los documentos en su soporte original físico y el digitalizado se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de picado.<br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores primarios administrativos, no tiene valores secundarios."
subserie_10,"09","Actas de Reuniones de Siniestros",gestion_documentos.serie_2,1,10,"Terminación de la vigencia fiscal","<span style='font-size:20px; font-weight:bold;'>&#8226;</span> Cumplido el tiempo de retención en el archivo de gestión los documentos en soporte original físico se transfieren al archivo central para ser digitalizados con fines de consulta en el área de Archivo y cumplido el tiempo de retención en el archivo central contados a partir del cierre del expediente, los documentos en su soporte original físico y el digitalizado se eliminan por perdida de los valores primarios en el Archivo de VISE LTDA dejando constancia en el acta de eliminación documental, de acuerdo con lo dispuesto en el procedimiento de disposición documental por el método de picado.<br/><br/><span style='font-size:20px; font-weight:bold;'>&#8226;</span> Documentos con valores primarios administrativos, no tiene valores secundarios."
